,ID,trial,group,acc,list_length
0,1,1,simple,1,1
1,1,2,simple,1,1
2,1,3,simple,1,1
3,1,4,simple,1,1
4,1,5,simple,1,1
5,1,6,simple,1,1
6,1,7,simple,1,1
7,1,8,simple,1,1
8,1,9,simple,1,1
9,1,10,simple,1,1
10,1,11,simple,1,1
11,1,12,simple,1,1
12,1,13,simple,0,1
13,1,14,simple,1,1
14,1,15,simple,1,1
15,1,16,simple,1,1
16,1,17,simple,1,1
17,1,18,simple,1,1
18,1,19,simple,1,1
19,1,20,simple,0,1
20,1,1,simple,1,2
21,1,2,simple,0,2
22,1,3,simple,0,2
23,1,4,simple,1,2
24,1,5,simple,1,2
25,1,6,simple,0,2
26,1,7,simple,1,2
27,1,8,simple,1,2
28,1,9,simple,1,2
29,1,10,simple,1,2
30,1,11,simple,1,2
31,1,12,simple,1,2
32,1,13,simple,0,2
33,1,14,simple,0,2
34,1,15,simple,1,2
35,1,16,simple,1,2
36,1,17,simple,1,2
37,1,18,simple,1,2
38,1,19,simple,0,2
39,1,20,simple,1,2
40,1,1,simple,1,3
41,1,2,simple,0,3
42,1,3,simple,0,3
43,1,4,simple,1,3
44,1,5,simple,0,3
45,1,6,simple,0,3
46,1,7,simple,0,3
47,1,8,simple,1,3
48,1,9,simple,1,3
49,1,10,simple,0,3
50,1,11,simple,1,3
51,1,12,simple,0,3
52,1,13,simple,1,3
53,1,14,simple,0,3
54,1,15,simple,0,3
55,1,16,simple,1,3
56,1,17,simple,0,3
57,1,18,simple,1,3
58,1,19,simple,1,3
59,1,20,simple,0,3
60,1,1,simple,0,4
61,1,2,simple,0,4
62,1,3,simple,1,4
63,1,4,simple,1,4
64,1,5,simple,0,4
65,1,6,simple,1,4
66,1,7,simple,0,4
67,1,8,simple,1,4
68,1,9,simple,0,4
69,1,10,simple,0,4
70,1,11,simple,1,4
71,1,12,simple,0,4
72,1,13,simple,0,4
73,1,14,simple,0,4
74,1,15,simple,1,4
75,1,16,simple,0,4
76,1,17,simple,1,4
77,1,18,simple,0,4
78,1,19,simple,0,4
79,1,20,simple,0,4
80,1,1,simple,0,5
81,1,2,simple,0,5
82,1,3,simple,0,5
83,1,4,simple,0,5
84,1,5,simple,0,5
85,1,6,simple,0,5
86,1,7,simple,0,5
87,1,8,simple,0,5
88,1,9,simple,0,5
89,1,10,simple,0,5
90,1,11,simple,0,5
91,1,12,simple,0,5
92,1,13,simple,0,5
93,1,14,simple,0,5
94,1,15,simple,0,5
95,1,16,simple,0,5
96,1,17,simple,0,5
97,1,18,simple,0,5
98,1,19,simple,0,5
99,1,20,simple,0,5
100,1,1,simple,0,6
101,1,2,simple,0,6
102,1,3,simple,0,6
103,1,4,simple,0,6
104,1,5,simple,0,6
105,1,6,simple,0,6
106,1,7,simple,0,6
107,1,8,simple,0,6
108,1,9,simple,0,6
109,1,10,simple,0,6
110,1,11,simple,0,6
111,1,12,simple,0,6
112,1,13,simple,0,6
113,1,14,simple,0,6
114,1,15,simple,0,6
115,1,16,simple,0,6
116,1,17,simple,0,6
117,1,18,simple,0,6
118,1,19,simple,0,6
119,1,20,simple,0,6
120,1,1,simple,0,7
121,1,2,simple,0,7
122,1,3,simple,0,7
123,1,4,simple,0,7
124,1,5,simple,0,7
125,1,6,simple,0,7
126,1,7,simple,0,7
127,1,8,simple,0,7
128,1,9,simple,0,7
129,1,10,simple,0,7
130,1,11,simple,0,7
131,1,12,simple,1,7
132,1,13,simple,0,7
133,1,14,simple,0,7
134,1,15,simple,0,7
135,1,16,simple,0,7
136,1,17,simple,0,7
137,1,18,simple,0,7
138,1,19,simple,0,7
139,1,20,simple,0,7
140,1,1,simple,0,8
141,1,2,simple,0,8
142,1,3,simple,0,8
143,1,4,simple,0,8
144,1,5,simple,0,8
145,1,6,simple,0,8
146,1,7,simple,0,8
147,1,8,simple,0,8
148,1,9,simple,0,8
149,1,10,simple,0,8
150,1,11,simple,0,8
151,1,12,simple,0,8
152,1,13,simple,0,8
153,1,14,simple,0,8
154,1,15,simple,0,8
155,1,16,simple,0,8
156,1,17,simple,0,8
157,1,18,simple,0,8
158,1,19,simple,0,8
159,1,20,simple,0,8
160,2,1,interference,1,1
161,2,2,interference,1,1
162,2,3,interference,1,1
163,2,4,interference,0,1
164,2,5,interference,1,1
165,2,6,interference,0,1
166,2,7,interference,1,1
167,2,8,interference,0,1
168,2,9,interference,1,1
169,2,10,interference,1,1
170,2,11,interference,1,1
171,2,12,interference,1,1
172,2,13,interference,1,1
173,2,14,interference,0,1
174,2,15,interference,1,1
175,2,16,interference,1,1
176,2,17,interference,1,1
177,2,18,interference,0,1
178,2,19,interference,0,1
179,2,20,interference,1,1
180,2,1,interference,0,2
181,2,2,interference,0,2
182,2,3,interference,1,2
183,2,4,interference,0,2
184,2,5,interference,0,2
185,2,6,interference,0,2
186,2,7,interference,0,2
187,2,8,interference,1,2
188,2,9,interference,1,2
189,2,10,interference,0,2
190,2,11,interference,0,2
191,2,12,interference,1,2
192,2,13,interference,1,2
193,2,14,interference,1,2
194,2,15,interference,0,2
195,2,16,interference,0,2
196,2,17,interference,0,2
197,2,18,interference,0,2
198,2,19,interference,0,2
199,2,20,interference,1,2
200,2,1,interference,0,3
201,2,2,interference,0,3
202,2,3,interference,0,3
203,2,4,interference,0,3
204,2,5,interference,0,3
205,2,6,interference,0,3
206,2,7,interference,0,3
207,2,8,interference,0,3
208,2,9,interference,0,3
209,2,10,interference,0,3
210,2,11,interference,0,3
211,2,12,interference,0,3
212,2,13,interference,1,3
213,2,14,interference,0,3
214,2,15,interference,0,3
215,2,16,interference,0,3
216,2,17,interference,0,3
217,2,18,interference,0,3
218,2,19,interference,0,3
219,2,20,interference,0,3
220,2,1,interference,0,4
221,2,2,interference,0,4
222,2,3,interference,0,4
223,2,4,interference,0,4
224,2,5,interference,0,4
225,2,6,interference,0,4
226,2,7,interference,0,4
227,2,8,interference,0,4
228,2,9,interference,0,4
229,2,10,interference,0,4
230,2,11,interference,0,4
231,2,12,interference,0,4
232,2,13,interference,0,4
233,2,14,interference,0,4
234,2,15,interference,0,4
235,2,16,interference,0,4
236,2,17,interference,0,4
237,2,18,interference,0,4
238,2,19,interference,0,4
239,2,20,interference,1,4
240,2,1,interference,0,5
241,2,2,interference,0,5
242,2,3,interference,0,5
243,2,4,interference,0,5
244,2,5,interference,0,5
245,2,6,interference,0,5
246,2,7,interference,0,5
247,2,8,interference,0,5
248,2,9,interference,0,5
249,2,10,interference,0,5
250,2,11,interference,0,5
251,2,12,interference,0,5
252,2,13,interference,0,5
253,2,14,interference,0,5
254,2,15,interference,0,5
255,2,16,interference,1,5
256,2,17,interference,0,5
257,2,18,interference,0,5
258,2,19,interference,0,5
259,2,20,interference,0,5
260,2,1,interference,0,6
261,2,2,interference,0,6
262,2,3,interference,0,6
263,2,4,interference,0,6
264,2,5,interference,0,6
265,2,6,interference,0,6
266,2,7,interference,0,6
267,2,8,interference,0,6
268,2,9,interference,0,6
269,2,10,interference,0,6
270,2,11,interference,0,6
271,2,12,interference,0,6
272,2,13,interference,0,6
273,2,14,interference,0,6
274,2,15,interference,0,6
275,2,16,interference,0,6
276,2,17,interference,0,6
277,2,18,interference,0,6
278,2,19,interference,0,6
279,2,20,interference,0,6
280,2,1,interference,0,7
281,2,2,interference,0,7
282,2,3,interference,0,7
283,2,4,interference,0,7
284,2,5,interference,0,7
285,2,6,interference,0,7
286,2,7,interference,0,7
287,2,8,interference,0,7
288,2,9,interference,0,7
289,2,10,interference,0,7
290,2,11,interference,0,7
291,2,12,interference,0,7
292,2,13,interference,0,7
293,2,14,interference,0,7
294,2,15,interference,0,7
295,2,16,interference,0,7
296,2,17,interference,0,7
297,2,18,interference,0,7
298,2,19,interference,0,7
299,2,20,interference,0,7
300,2,1,interference,0,8
301,2,2,interference,0,8
302,2,3,interference,0,8
303,2,4,interference,0,8
304,2,5,interference,0,8
305,2,6,interference,0,8
306,2,7,interference,0,8
307,2,8,interference,0,8
308,2,9,interference,0,8
309,2,10,interference,0,8
310,2,11,interference,0,8
311,2,12,interference,0,8
312,2,13,interference,0,8
313,2,14,interference,0,8
314,2,15,interference,0,8
315,2,16,interference,0,8
316,2,17,interference,0,8
317,2,18,interference,0,8
318,2,19,interference,0,8
319,2,20,interference,0,8
320,3,1,interference,1,1
321,3,2,interference,0,1
322,3,3,interference,1,1
323,3,4,interference,1,1
324,3,5,interference,1,1
325,3,6,interference,1,1
326,3,7,interference,0,1
327,3,8,interference,1,1
328,3,9,interference,1,1
329,3,10,interference,1,1
330,3,11,interference,0,1
331,3,12,interference,1,1
332,3,13,interference,0,1
333,3,14,interference,1,1
334,3,15,interference,1,1
335,3,16,interference,0,1
336,3,17,interference,1,1
337,3,18,interference,1,1
338,3,19,interference,1,1
339,3,20,interference,0,1
340,3,1,interference,1,2
341,3,2,interference,0,2
342,3,3,interference,0,2
343,3,4,interference,1,2
344,3,5,interference,1,2
345,3,6,interference,0,2
346,3,7,interference,0,2
347,3,8,interference,1,2
348,3,9,interference,0,2
349,3,10,interference,0,2
350,3,11,interference,1,2
351,3,12,interference,1,2
352,3,13,interference,0,2
353,3,14,interference,1,2
354,3,15,interference,1,2
355,3,16,interference,1,2
356,3,17,interference,0,2
357,3,18,interference,1,2
358,3,19,interference,0,2
359,3,20,interference,1,2
360,3,1,interference,0,3
361,3,2,interference,0,3
362,3,3,interference,1,3
363,3,4,interference,0,3
364,3,5,interference,0,3
365,3,6,interference,1,3
366,3,7,interference,0,3
367,3,8,interference,1,3
368,3,9,interference,0,3
369,3,10,interference,0,3
370,3,11,interference,0,3
371,3,12,interference,0,3
372,3,13,interference,0,3
373,3,14,interference,0,3
374,3,15,interference,0,3
375,3,16,interference,0,3
376,3,17,interference,0,3
377,3,18,interference,0,3
378,3,19,interference,0,3
379,3,20,interference,0,3
380,3,1,interference,1,4
381,3,2,interference,0,4
382,3,3,interference,0,4
383,3,4,interference,0,4
384,3,5,interference,0,4
385,3,6,interference,0,4
386,3,7,interference,0,4
387,3,8,interference,0,4
388,3,9,interference,0,4
389,3,10,interference,0,4
390,3,11,interference,0,4
391,3,12,interference,0,4
392,3,13,interference,0,4
393,3,14,interference,0,4
394,3,15,interference,0,4
395,3,16,interference,0,4
396,3,17,interference,0,4
397,3,18,interference,0,4
398,3,19,interference,0,4
399,3,20,interference,0,4
400,3,1,interference,0,5
401,3,2,interference,0,5
402,3,3,interference,0,5
403,3,4,interference,0,5
404,3,5,interference,0,5
405,3,6,interference,0,5
406,3,7,interference,0,5
407,3,8,interference,0,5
408,3,9,interference,0,5
409,3,10,interference,0,5
410,3,11,interference,0,5
411,3,12,interference,0,5
412,3,13,interference,0,5
413,3,14,interference,0,5
414,3,15,interference,0,5
415,3,16,interference,0,5
416,3,17,interference,0,5
417,3,18,interference,0,5
418,3,19,interference,0,5
419,3,20,interference,0,5
420,3,1,interference,0,6
421,3,2,interference,0,6
422,3,3,interference,0,6
423,3,4,interference,0,6
424,3,5,interference,0,6
425,3,6,interference,0,6
426,3,7,interference,0,6
427,3,8,interference,0,6
428,3,9,interference,0,6
429,3,10,interference,0,6
430,3,11,interference,0,6
431,3,12,interference,0,6
432,3,13,interference,0,6
433,3,14,interference,0,6
434,3,15,interference,0,6
435,3,16,interference,0,6
436,3,17,interference,0,6
437,3,18,interference,0,6
438,3,19,interference,0,6
439,3,20,interference,0,6
440,3,1,interference,0,7
441,3,2,interference,0,7
442,3,3,interference,0,7
443,3,4,interference,0,7
444,3,5,interference,0,7
445,3,6,interference,0,7
446,3,7,interference,0,7
447,3,8,interference,0,7
448,3,9,interference,0,7
449,3,10,interference,0,7
450,3,11,interference,0,7
451,3,12,interference,0,7
452,3,13,interference,0,7
453,3,14,interference,0,7
454,3,15,interference,0,7
455,3,16,interference,0,7
456,3,17,interference,0,7
457,3,18,interference,0,7
458,3,19,interference,0,7
459,3,20,interference,0,7
460,3,1,interference,0,8
461,3,2,interference,0,8
462,3,3,interference,0,8
463,3,4,interference,0,8
464,3,5,interference,0,8
465,3,6,interference,0,8
466,3,7,interference,0,8
467,3,8,interference,0,8
468,3,9,interference,0,8
469,3,10,interference,0,8
470,3,11,interference,0,8
471,3,12,interference,0,8
472,3,13,interference,0,8
473,3,14,interference,0,8
474,3,15,interference,0,8
475,3,16,interference,0,8
476,3,17,interference,0,8
477,3,18,interference,0,8
478,3,19,interference,0,8
479,3,20,interference,0,8
480,4,1,interference,1,1
481,4,2,interference,0,1
482,4,3,interference,1,1
483,4,4,interference,0,1
484,4,5,interference,1,1
485,4,6,interference,0,1
486,4,7,interference,1,1
487,4,8,interference,1,1
488,4,9,interference,1,1
489,4,10,interference,1,1
490,4,11,interference,1,1
491,4,12,interference,1,1
492,4,13,interference,1,1
493,4,14,interference,1,1
494,4,15,interference,1,1
495,4,16,interference,1,1
496,4,17,interference,0,1
497,4,18,interference,0,1
498,4,19,interference,1,1
499,4,20,interference,1,1
500,4,1,interference,0,2
501,4,2,interference,0,2
502,4,3,interference,1,2
503,4,4,interference,0,2
504,4,5,interference,0,2
505,4,6,interference,0,2
506,4,7,interference,0,2
507,4,8,interference,0,2
508,4,9,interference,0,2
509,4,10,interference,0,2
510,4,11,interference,0,2
511,4,12,interference,0,2
512,4,13,interference,0,2
513,4,14,interference,0,2
514,4,15,interference,1,2
515,4,16,interference,0,2
516,4,17,interference,1,2
517,4,18,interference,1,2
518,4,19,interference,0,2
519,4,20,interference,1,2
520,4,1,interference,0,3
521,4,2,interference,0,3
522,4,3,interference,0,3
523,4,4,interference,0,3
524,4,5,interference,0,3
525,4,6,interference,0,3
526,4,7,interference,0,3
527,4,8,interference,0,3
528,4,9,interference,0,3
529,4,10,interference,1,3
530,4,11,interference,0,3
531,4,12,interference,0,3
532,4,13,interference,0,3
533,4,14,interference,0,3
534,4,15,interference,0,3
535,4,16,interference,1,3
536,4,17,interference,0,3
537,4,18,interference,0,3
538,4,19,interference,0,3
539,4,20,interference,0,3
540,4,1,interference,0,4
541,4,2,interference,0,4
542,4,3,interference,0,4
543,4,4,interference,0,4
544,4,5,interference,0,4
545,4,6,interference,1,4
546,4,7,interference,0,4
547,4,8,interference,0,4
548,4,9,interference,0,4
549,4,10,interference,0,4
550,4,11,interference,0,4
551,4,12,interference,0,4
552,4,13,interference,0,4
553,4,14,interference,0,4
554,4,15,interference,0,4
555,4,16,interference,0,4
556,4,17,interference,0,4
557,4,18,interference,0,4
558,4,19,interference,0,4
559,4,20,interference,0,4
560,4,1,interference,0,5
561,4,2,interference,0,5
562,4,3,interference,0,5
563,4,4,interference,0,5
564,4,5,interference,0,5
565,4,6,interference,0,5
566,4,7,interference,0,5
567,4,8,interference,0,5
568,4,9,interference,0,5
569,4,10,interference,0,5
570,4,11,interference,0,5
571,4,12,interference,0,5
572,4,13,interference,0,5
573,4,14,interference,0,5
574,4,15,interference,0,5
575,4,16,interference,0,5
576,4,17,interference,0,5
577,4,18,interference,0,5
578,4,19,interference,0,5
579,4,20,interference,0,5
580,4,1,interference,0,6
581,4,2,interference,0,6
582,4,3,interference,0,6
583,4,4,interference,0,6
584,4,5,interference,0,6
585,4,6,interference,0,6
586,4,7,interference,0,6
587,4,8,interference,0,6
588,4,9,interference,0,6
589,4,10,interference,0,6
590,4,11,interference,0,6
591,4,12,interference,0,6
592,4,13,interference,0,6
593,4,14,interference,0,6
594,4,15,interference,0,6
595,4,16,interference,0,6
596,4,17,interference,0,6
597,4,18,interference,0,6
598,4,19,interference,0,6
599,4,20,interference,0,6
600,4,1,interference,0,7
601,4,2,interference,0,7
602,4,3,interference,0,7
603,4,4,interference,0,7
604,4,5,interference,0,7
605,4,6,interference,0,7
606,4,7,interference,0,7
607,4,8,interference,0,7
608,4,9,interference,0,7
609,4,10,interference,0,7
610,4,11,interference,0,7
611,4,12,interference,0,7
612,4,13,interference,0,7
613,4,14,interference,0,7
614,4,15,interference,0,7
615,4,16,interference,0,7
616,4,17,interference,0,7
617,4,18,interference,0,7
618,4,19,interference,0,7
619,4,20,interference,0,7
620,4,1,interference,0,8
621,4,2,interference,0,8
622,4,3,interference,0,8
623,4,4,interference,0,8
624,4,5,interference,0,8
625,4,6,interference,0,8
626,4,7,interference,0,8
627,4,8,interference,0,8
628,4,9,interference,0,8
629,4,10,interference,0,8
630,4,11,interference,0,8
631,4,12,interference,0,8
632,4,13,interference,0,8
633,4,14,interference,0,8
634,4,15,interference,0,8
635,4,16,interference,0,8
636,4,17,interference,0,8
637,4,18,interference,0,8
638,4,19,interference,0,8
639,4,20,interference,0,8
640,5,1,simple,1,1
641,5,2,simple,1,1
642,5,3,simple,1,1
643,5,4,simple,1,1
644,5,5,simple,1,1
645,5,6,simple,1,1
646,5,7,simple,1,1
647,5,8,simple,1,1
648,5,9,simple,1,1
649,5,10,simple,1,1
650,5,11,simple,1,1
651,5,12,simple,1,1
652,5,13,simple,1,1
653,5,14,simple,1,1
654,5,15,simple,0,1
655,5,16,simple,1,1
656,5,17,simple,1,1
657,5,18,simple,1,1
658,5,19,simple,1,1
659,5,20,simple,1,1
660,5,1,simple,0,2
661,5,2,simple,1,2
662,5,3,simple,0,2
663,5,4,simple,1,2
664,5,5,simple,1,2
665,5,6,simple,1,2
666,5,7,simple,1,2
667,5,8,simple,1,2
668,5,9,simple,1,2
669,5,10,simple,1,2
670,5,11,simple,0,2
671,5,12,simple,0,2
672,5,13,simple,1,2
673,5,14,simple,1,2
674,5,15,simple,1,2
675,5,16,simple,0,2
676,5,17,simple,1,2
677,5,18,simple,1,2
678,5,19,simple,1,2
679,5,20,simple,1,2
680,5,1,simple,0,3
681,5,2,simple,0,3
682,5,3,simple,1,3
683,5,4,simple,0,3
684,5,5,simple,0,3
685,5,6,simple,1,3
686,5,7,simple,0,3
687,5,8,simple,0,3
688,5,9,simple,0,3
689,5,10,simple,0,3
690,5,11,simple,0,3
691,5,12,simple,0,3
692,5,13,simple,0,3
693,5,14,simple,1,3
694,5,15,simple,0,3
695,5,16,simple,1,3
696,5,17,simple,0,3
697,5,18,simple,0,3
698,5,19,simple,0,3
699,5,20,simple,1,3
700,5,1,simple,0,4
701,5,2,simple,0,4
702,5,3,simple,0,4
703,5,4,simple,0,4
704,5,5,simple,0,4
705,5,6,simple,1,4
706,5,7,simple,0,4
707,5,8,simple,1,4
708,5,9,simple,0,4
709,5,10,simple,1,4
710,5,11,simple,0,4
711,5,12,simple,0,4
712,5,13,simple,1,4
713,5,14,simple,0,4
714,5,15,simple,0,4
715,5,16,simple,0,4
716,5,17,simple,0,4
717,5,18,simple,1,4
718,5,19,simple,0,4
719,5,20,simple,0,4
720,5,1,simple,0,5
721,5,2,simple,0,5
722,5,3,simple,0,5
723,5,4,simple,0,5
724,5,5,simple,0,5
725,5,6,simple,0,5
726,5,7,simple,0,5
727,5,8,simple,0,5
728,5,9,simple,1,5
729,5,10,simple,0,5
730,5,11,simple,0,5
731,5,12,simple,0,5
732,5,13,simple,0,5
733,5,14,simple,0,5
734,5,15,simple,0,5
735,5,16,simple,1,5
736,5,17,simple,1,5
737,5,18,simple,0,5
738,5,19,simple,0,5
739,5,20,simple,0,5
740,5,1,simple,0,6
741,5,2,simple,0,6
742,5,3,simple,0,6
743,5,4,simple,1,6
744,5,5,simple,0,6
745,5,6,simple,0,6
746,5,7,simple,0,6
747,5,8,simple,0,6
748,5,9,simple,0,6
749,5,10,simple,0,6
750,5,11,simple,0,6
751,5,12,simple,0,6
752,5,13,simple,0,6
753,5,14,simple,0,6
754,5,15,simple,0,6
755,5,16,simple,0,6
756,5,17,simple,0,6
757,5,18,simple,0,6
758,5,19,simple,0,6
759,5,20,simple,0,6
760,5,1,simple,0,7
761,5,2,simple,0,7
762,5,3,simple,0,7
763,5,4,simple,0,7
764,5,5,simple,0,7
765,5,6,simple,0,7
766,5,7,simple,0,7
767,5,8,simple,0,7
768,5,9,simple,0,7
769,5,10,simple,0,7
770,5,11,simple,0,7
771,5,12,simple,0,7
772,5,13,simple,0,7
773,5,14,simple,0,7
774,5,15,simple,0,7
775,5,16,simple,0,7
776,5,17,simple,0,7
777,5,18,simple,0,7
778,5,19,simple,0,7
779,5,20,simple,0,7
780,5,1,simple,0,8
781,5,2,simple,0,8
782,5,3,simple,0,8
783,5,4,simple,0,8
784,5,5,simple,0,8
785,5,6,simple,0,8
786,5,7,simple,0,8
787,5,8,simple,0,8
788,5,9,simple,0,8
789,5,10,simple,0,8
790,5,11,simple,0,8
791,5,12,simple,0,8
792,5,13,simple,0,8
793,5,14,simple,0,8
794,5,15,simple,0,8
795,5,16,simple,0,8
796,5,17,simple,0,8
797,5,18,simple,0,8
798,5,19,simple,0,8
799,5,20,simple,0,8
800,6,1,simple,1,1
801,6,2,simple,1,1
802,6,3,simple,1,1
803,6,4,simple,1,1
804,6,5,simple,1,1
805,6,6,simple,1,1
806,6,7,simple,0,1
807,6,8,simple,1,1
808,6,9,simple,1,1
809,6,10,simple,1,1
810,6,11,simple,1,1
811,6,12,simple,1,1
812,6,13,simple,1,1
813,6,14,simple,1,1
814,6,15,simple,1,1
815,6,16,simple,1,1
816,6,17,simple,1,1
817,6,18,simple,0,1
818,6,19,simple,1,1
819,6,20,simple,0,1
820,6,1,simple,1,2
821,6,2,simple,1,2
822,6,3,simple,1,2
823,6,4,simple,1,2
824,6,5,simple,1,2
825,6,6,simple,0,2
826,6,7,simple,0,2
827,6,8,simple,1,2
828,6,9,simple,0,2
829,6,10,simple,1,2
830,6,11,simple,1,2
831,6,12,simple,1,2
832,6,13,simple,1,2
833,6,14,simple,1,2
834,6,15,simple,0,2
835,6,16,simple,1,2
836,6,17,simple,1,2
837,6,18,simple,1,2
838,6,19,simple,1,2
839,6,20,simple,1,2
840,6,1,simple,1,3
841,6,2,simple,1,3
842,6,3,simple,0,3
843,6,4,simple,1,3
844,6,5,simple,0,3
845,6,6,simple,0,3
846,6,7,simple,0,3
847,6,8,simple,0,3
848,6,9,simple,0,3
849,6,10,simple,0,3
850,6,11,simple,1,3
851,6,12,simple,0,3
852,6,13,simple,0,3
853,6,14,simple,0,3
854,6,15,simple,0,3
855,6,16,simple,1,3
856,6,17,simple,0,3
857,6,18,simple,0,3
858,6,19,simple,0,3
859,6,20,simple,0,3
860,6,1,simple,0,4
861,6,2,simple,1,4
862,6,3,simple,0,4
863,6,4,simple,0,4
864,6,5,simple,0,4
865,6,6,simple,0,4
866,6,7,simple,0,4
867,6,8,simple,0,4
868,6,9,simple,0,4
869,6,10,simple,0,4
870,6,11,simple,0,4
871,6,12,simple,0,4
872,6,13,simple,0,4
873,6,14,simple,0,4
874,6,15,simple,0,4
875,6,16,simple,1,4
876,6,17,simple,0,4
877,6,18,simple,0,4
878,6,19,simple,0,4
879,6,20,simple,0,4
880,6,1,simple,0,5
881,6,2,simple,0,5
882,6,3,simple,0,5
